"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Puccinia triticina</i> 1-1 BBBD Race 1 Genome Sequence and Annotation","2016-06-06","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","43","Genomes","ptri1-1BBBDRace1_primary_genome_RSRC","DS_160f9f30a6","<i>Puccinia triticina</i> 1-1 BBBD Race 1<br>","27913634","N/A","Christina Cuomo","Genome sequence and annotation for <i>Puccinia triticina</i> 1-1 BBBD Race 1.","genome","15692"
"Histoplasma capsulatum G186AR transcripts from build 63 models","bld63","N/A","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 1.0, 01-JAN-05","0","Sequence sites, features and motifs","hcapG186AR_bld63Transcripts_transcript_sequences_RSRC","DS_16b81851fd","<i>Histoplasma capsulatum</i> G186AR<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Transcripts for Histoplasma capsulatum G186AR build 63 models","aligned_sequence","N/A"
"The role of the SREBP pathway in the secretion of lignocellulolytic enzymes","2017-04-11","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 47, 2020-APR-07","47","RNASeq","ncraOR74A_Qin_SREBP_pathway_ebi_rnaSeq_RSRC","DS_16bc228c8e","<i>Neurospora crassa</i> OR74A<br>","28420736","N/A","Qin et al. 2017","mRNA levels if four strains WT, delta sah-2, Mclr-2 and Mclr-2 delta sah-2 strains","transcript_expression","N/A"
"Transcriptome landscape of Candida glabrata during pH change and nitrosative stress","2015-01-27","Apollo","Jorg Linde","Research Group Systems Biology and Bioinformatics, Leibniz Institute for Natural Product Research and Infection Biology–Hans Knoell Institute","FungiDB rel. 44, 2019-JUL-02","44","RNASeq","cglaCBS138_pHChange_NOStress_ebi_rnaSeq_RSRC","DS_16c760635d","<i>Nakaseomyces glabratus</i> CBS 138<br>","25586221","N/A","Linde et al. 2015","RNA-Seq-based analysis of the transcriptomic landscape of <i>C. glabrata</i> in nutrient-rich media, as well as under nitrosative stress and during pH shift.","transcript_expression","N/A"
"<i>Aspergillus flavus</i> NRRL3357 Genome Sequence and Annotation","2020-09-28","Apollo","William C. Nierman","J. Craig Venter Institute","FungiDB rel. 61, 2022-DEC-15","19","Genomes","aflaNRRL3357_primary_genome_RSRC","DS_16df1352e9","<i>Aspergillus flavus</i> NRRL3357<br>","N/A","N/A","William C. Nierman","Genome sequence and annotation for <i>Aspergillus flavus</i> NRRL3357.","genome","14313"
"Identification of direct target genes of the Neurospora crassa essential plant biomass deconstruction transcription factors CLR-1, CLR-2 and XLR-1 (ChIP-Seq)","2015-10-13","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 41, 2018-DEC-13","41","CHIP Seq","ncraOR74A_koAndWt_variousCarbonSources_chipSeq_RSRC","DS_17f48c08a1","<i>Neurospora crassa</i> OR74A<br>","26463163","N/A","Craig et al.","ChIPseq upon knockout mutants and sild type growing on various carbon sources to determin the role of the transcription factors: CLR-1, CLR-2, and XLR-1 in plant cell wall degradation","transcript_expression","N/A"
"<i>Coccidioides posadasii</i> CPA 0066 Genome Sequence","2015-07-13","N/A","Daniel E. Neafsey","Harvard University & BROAD Institute, Cambridge, MA, USA","FungiDB rel. 51, 2021-MAR-16","26","Genomes","cposCPA0066_primary_genome_RSRC","DS_189419dd50","<i>Coccidioides posadasii</i> CPA 0066<br>","20516208","N/A","Daniel E. Neafsey","Genome sequence for <i>Coccidioides posadasii</i> CPA 0066","genome","N/A"
"<i>Cryptococcus neoformans</i> var. grubii H99 2018 Genome Sequence","2018-03-20","N/A","Kaustuv Sanyal","Molecular Mycology Laboratory, Molecular Biology and Genetics Unit, Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore, India","FungiDB rel. 59, 2022-AUG-30","59","Genomes","cneoH992018_primary_genome_RSRC","DS_18e4d020bb","<i>Cryptococcus neoformans</i> var. grubii H99 2018<br>","29507212","N/A","Kaustuv Sanyal","Genome Sequence of <i>Cryptococcus neoformans var. grubii</i> H99 2018","genome","N/A"
"Aspergillus nidulans FGSC A4 (Eurofung) Genome Sequence and Annotation","2015-02-27","Apollo","Eurofung","The EUROFUNG Consortium","FungiDB rel. 1.0, 01-JAN-05","0","Sequence sites, features and motifs","anidFGSCA4_TurnerAnnotation_transcript_sequences_RSRC","DS_1960667762","<i>Aspergillus nidulans</i> FGSC A4<br>","19146970","N/A","Wortman et al. 2009","Aspergillus nidulans FGSC A4 (2009) Genome Sequence and Annotation (community efforts).","aligned_sequence","N/A"
"Histoplasma capsulatum G217B transcripts from build 63 models","bld63","Apollo","Mark Voorhies","Department of Microbiology and Immunology, University of California, San Francisco","FungiDB rel. 1.0, 01-JAN-05","0","Sequence sites, features and motifs","hcapG217B_bld63Transcripts_transcript_sequences_RSRC","DS_1999b1e44f","<i>Histoplasma capsulatum</i> G217B<br>","N/A","N/A","Mark Voorhies","Transcripts for Histoplasma capsulatum G217B build 63 models","aligned_sequence","N/A"
"Popset Records from GenBank","N/A","Apollo","GenBank","NCBI","FungiDB rel. 1.0, 01-JAN-05","0","Genetic variation","_isolates_genbank_RSRC$","DS_19a7ddd8f2","<i>Albugo candida</i> 2VRR<br><i>Allomyces macrogynus</i> ATCC 38327<br><i>Alternaria alternata</i> SRC1lrK2f<br><i>Amauroascus mutatus</i> isolate UAMH 3576<br><i>Apiotrichum montevideense</i> JCM 9937<br><i>Apophysomyces variabilis</i> NCCPF 102052<br><i>Arthrobotrys flagrans</i> CBS H-5679<br><i>Ascosphaera apis</i> ARSEF 7405<br><i>Aspergillus nidulans</i> FGSC A4<br><i>Batrachochytrium dendrobatidis</i> JEL423<br><i>Beauveria bassiana</i> HN6<br><i>Blastomyces dermatitidis</i> ER-3<br><i>Blumeria graminis</i> f. sp. tritici 96224<br><i>Bremia lactucae</i> strain SF5<br><i>Byssoonygena ceratinophila</i> isolate UAMH 5669<br><i>Candida albicans</i> SC5314<br><i>Cenococcum geophilum</i> 1.58<br><i>Chaetomium globosum</i> CBS 148.51<br><i>Chaetothyriales sp.</i> CBS 132003<br><i>Chrysosporium queenslandicum</i> isolate CBS 280.77<br><i>Cladophialophora carrionii</i> KSF<br><i>Claviceps purpurea</i> 20.1<br><i>Clavispora lusitaniae</i> ATCC 42720<br><i>Coccidioides immitis</i> RS<br><i>Colletotrichum graminicola</i> M1.001<br><i>Coprinopsis cinerea</i> okayama7#130<br><i>Cordyceps militaris</i> ATCC 34164<br><i>Cryptococcus neoformans</i> var. neoformans JEC21<br><i>Curvularia clavata</i> yc1106<br><i>Cyberlindnera fabianii</i> 65<br><i>Cyphellophora europaea</i> CBS 101466<br><i>Debaryomyces hansenii</i> CBS767<br><i>Diutina rugosa</i> CBS 613<br><i>Emergomyces pasteurianus</i> Ep9510<br><i>Emmonsia crescens</i> UAMH 3008<br><i>Epichloe glyceriae</i> E277<br><i>Exophiala oligosperma</i> strain CBS 72588<br><i>Fonsecaea pedrosoi</i> CBS 271.37<br><i>Fusarium graminearum</i> PH-1<br><i>Gaeumannomyces tritici</i> R3-111a-1<br><i>Globisporangium ultimum</i> DAOM BR144<br><i>Hanseniaspora uvarum</i> strain AWRI3580<br><i>Hemileia vastatrix</i> Race XXXIII<br><i>Histoplasma capsulatum</i> G217B<br><i>Hortaea werneckii</i> EXF-2000<br><i>Hyaloperonospora arabidopsidis</i> Emoy2<br><i>Kluyveromyces lactis</i> NRRL Y-1140<br><i>Kwoniella bestiolae</i> CBS 10118<br><i>Lentinus tigrinus</i> ALCF2SS1-7<br><i>Lichtheimia ramosa</i> KPH11<br><i>Lodderomyces elongisporus</i> NRRL YB-4239<br><i>Lomentospora prolificans</i> JHH-5317<br><i>Macrophomina phaseolina</i> MS6<br><i>Madurella mycetomatis</i> mm55<br><i>Magnaporthiopsis poae</i> ATCC 64411<br><i>Malassezia globosa</i> CBS 7966<br><i>Melampsora larici-populina</i> 98AG31<br><i>Metarhizium anisopliae</i> ARSEF 549<br><i>Meyerozyma guilliermondii</i> ATCC 6260<br><i>Microsporum canis</i> CBS 113480<br><i>Monilinia fructicola</i> CPMC6<br><i>Mucor lusitanicus</i> CBS 277.49<br><i>Naganishia albida</i> NRRL Y-1402<br><i>Nannizzia gypsea</i> CBS 118893<br><i>Neurospora crassa</i> OR74A<br><i>Ophiostoma piceae</i> UAMH 11346<br><i>Paecilomyces variotii</i> CBS 101075<br>...","N/A","N/A","GenBank","GenBank records containing sequence and metadata for popsets","isolates","N/A"
"<i>Rickenella mellea</i> Ricmel1 Genome Sequence and Annotation","2019-03-20","Apollo","Laszlo G Nagy","Synthetic and Systems Biology Unit, Institute of Biochemistry, Biological Research Centre, Hungarian Academy of Sciences","FungiDB rel. 63, 2023-MAY-03","63","Genomes","rmelRicmel1_primary_genome_RSRC","DS_19c264e906","<i>Rickenella mellea</i> Ricmel1<br>","30902897","N/A","Laszlo G Nagy","Genome Sequence and Annotation of <i>Rickenella mellea</i> Ricmel1","genome","17193"
"Nrg1 Expression","2010-08-31_gus4","Apollo","Andrew Alspaugh","Duke University","FungiDB rel. 3.0, 2014-MAY-08","21","RNASeq","cneoH99_OMeara_Nrg1Expression_rnaSeq_RSRC","DS_1a3aa18fbf","<i>Cryptococcus neoformans</i> var. grubii H99<br>","N/A","N/A","Unpublished Teresa O&#180;Meara","Unpublished <i>Cryptococcus neoformans</i> var. <i>grubii</i> H99 data from Teresea O&#39;Meara et al. from Alspaugh Lab at Duke University on wild-type, nrg1 KO, and nrg1 overexpression.","transcript_expression","N/A"
"Gene expression during conidia germination on PDA and Bird media","2022-05-31","Apollo","Jeff Townsend","Department of Biostatistics, School of Public Health, Yale University","FungiDB rel. 67, 2024-FEB-21","67","RNASeq","ncraOR74A_Ncrassa_P_B_Townsend_2022_ebi_rnaSeq_RSRC","DS_1a51a536a0","<i>Neurospora crassa</i> OR74A<br>","35638725","N/A","Lopez-Giraldez et al. 2022","mRNA were sampled and compared from four time points across conida germination in Neurpsora crassa on different media","transcript_expression","N/A"
"Cell cycle transcriptome of Saccharomyces cerevisiae","2016-12-06","N/A","Steven Haase","Department of Biology, Duke University","FungiDB rel. 31, 2017-MAR-09","31","RNASeq","scerS288c_Haase_Kelliher_Cell_Cycle_ebi_rnaSeq_RSRC","DS_1a53359a85","<i>Saccharomyces cerevisiae</i> S288C<br>","27918582","N/A","Kelliher et al. 2016","Cell-cycle transcript dynamics of wild-type budding yeast <i>Saccharomyces cerevisiae</i>","transcript_expression","N/A"
"Regulatory role of glycerol in biofilm formation","2013-04-12_gus4","Apollo","Jigar V Desai","Carnegie Mellon University","FungiDB rel. 3.0, 2014-MAY-08","21","RNASeq","calbSC5314_Desai_GlycerolRole_ebi_rnaSeq_RSRC","DS_1a629adcf1","<i>Candida albicans</i> SC5314<br>","23572557","N/A","Desai et al. 2013","Biofilm-associated gene expression in two clinical isolates, SC5314 and WO-1","transcript_expression","N/A"
"Small RNA-Seq profiles during sexual development in Neurospora crassa","2015-06-23","Apollo","Jason E. Stajich","Department of Plant Pathology and Microbiology, University of California, Riverside","FungiDB rel. 37, 2018-APR-25","37","RNASeq","ncraOR74A_smallNcRna_Stajich_Small_RNA_RSRC","DS_1b1cb2f10a","<i>Neurospora crassa</i> OR74A<br>","26109355","N/A","Wang et al.","Endogenous small RNA profiles from <i>N. crassa</i> protoperithecia and perithecia at 2 and 4 days postfertilization.","transcript_expression","N/A"
"<i>Rhizophagus irregularis</i> A1 (DAOM-664342) Genome Sequence and Annotation","2017-12-11","N/A","Nicolas Corradi","University of Ottawa","FungiDB rel. 51, 2021-MAR-16","46","Genomes","rirrA1DAOM664342_primary_genome_RSRC","DS_1c7502fc78","<i>Rhizophagus irregularis</i> A1 (DAOM-664342)<br>","27572831","N/A","Nicolas Corradi","Genome sequence and annotation for <i>Rhizophagus irregularis</i> A1 (DAOM-664342).","genome","26582"
"Response to hypoxia","2017-02-09","Apollo","Robert Cramer","Montana State University","FungiDB rel. 31, 2017-MAR-09","31","DNA Microarray Assay","afumAf293_microarrayExpression_E-MEXP-3251_Barker_RSRC","DS_1ca49919f6","<i>Aspergillus fumigatus</i> Af293<br>","22309491","N/A","Barker et al. 2012","Dynamic changes of the transcriptome in hypoxia were investigated over a period of 24 hours utilizing an oxygen-controlled fermenter system","transcript_expression","N/A"
"SNP calls on WGS of F. verticillioides isolates collected in Australia","2018-03-09","Apollo","Donald M. Gardiner","Commonwealth Scientific and Industrial Research Organisation, Agriculture and Food,","FungiDB rel. 64, 2023-JUL-12","64","Genetic variation","fver7600_HTS_SNP_Fvert_Gardiner_PRJNA437508_RSRC","DS_1d2d0d0761","<i>Fusarium verticillioides</i> 7600<br>","30533922","N/A","Gardiner 2018","Three <i>Fusarium verticillioides</i> isolates collected from maize or sorghum","isolates","N/A"
"Fresh whole blood infected with Candida tropicalis","2018-10-02","Apollo","Philipp Kämmer","Microbial Pathogenicity Mechanisms, Leibniz Institute for Natural Product Research and Infection Biology – Hans Knöll Institute, Jena, Germany","FungiDB rel. 51, 2021-MAR-16","51","RNASeq","ctroMYA3404_Kammer_Blood_Ctopicalis_ebi_rnaSeq_RSRC","DS_1d4b3f2f63","<i>Candida tropicalis</i> MYA-3404<br>","30333805","N/A","Sieber et al. 2018","Fresh human whole blood infected with <i>Candida tropicalis</i>.","transcript_expression","N/A"
"<i>Coccidioides immitis</i> RMSCC 3703 Genome Sequence","2015-07-13","N/A","Daniel E. Neafsey","Harvard University & BROAD Institute, Cambridge, MA, USA","FungiDB rel. 51, 2021-MAR-16","26","Genomes","cimmRMSCC3703_primary_genome_RSRC","DS_1d5dfae888","<i>Coccidioides immitis</i> RMSCC 3703<br>","20516208","N/A","Daniel E. Neafsey","Genome sequence for <i>Coccidioides immitis</i> RMSCC 3703","genome","N/A"
"Transcriptomes of strains grown on different carbon sources (plant biomass)","2020-03-17","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 58, 2022-JUN-23","58","RNASeq","ncraOR74A_Ncrassa_plantbiomass_Wu_2021_ebi_rnaSeq_RSRC","DS_1dd4f50bad","<i>Neurospora crassa</i> OR74A<br>","32111691","N/A","Wu et al. 2020","Transcriptional profiling of <i>N. crassa</i> on different carbon sources.","transcript_expression","N/A"
"SNP calls on WGS of P. jirovecii isolated from human bronchoalveolar lavage samples","2021-03-03","Apollo","Joseph A. Kovacs","NIH Clinical Center, Bethesda, MD USA","FungiDB rel. 59, 2022-AUG-30","59","Genetic variation","pjirSE8_HTS_SNP_Ciss_Pjirovecii_2021_RSRC","DS_1ddb8babd8","<i>Pneumocystis jirovecii</i> SE8<br>","33686174","N/A","Cissé et al. 2021","SNP calls on P. jirovecii isolates (54c, and 46).","isolates","N/A"
"<i>Nakaseomyces glabratus</i> BG3993 Genome Sequence and Annotation","2021-10-13","N/A","Brendan P. Cormack","Department of Molecular Biology and Genetics, Johns Hopkins University School of Medicine, Baltimore, MD, USA","FungiDB rel. 64, 2023-JUL-12","64","Genomes","cglaBG3993_primary_genome_RSRC","DS_1e09b7aced","<i>Nakaseomyces glabratus</i> BG3993<br>","33713372","N/A","Brendan P. Cormack","Genome Sequence and Annotation of <i>Candida glabrata</i> BG3993","genome","5487"
"<i>Raffaelea lauricola</i> RL4 Genome Sequence and Annotation","2020-08-13","Apollo","Jeffrey Rollins","University of Florida","FungiDB rel. 58, 2022-JUN-23","56","Genomes","rlauRL4_primary_genome_RSRC","DS_1e397f04b9","<i>Raffaelea lauricola</i> RL4<br>","32819276","N/A","Jeffrey Rollins","Genome Sequence of <i>Raffaelea lauricola</i> RL4","genome","10461"
"<i>Parastagonospora nodorum</i> SN15 Genome Sequence and Annotation","2021-02-02","Apollo","Huyen T. Phan","Centre for Crop & Disease Management, Curtin University, Perth, Australia","FungiDB rel. 61, 2022-DEC-15","61","Genomes","pnodSN15_primary_genome_RSRC","DS_1e6b9dc02c","<i>Parastagonospora nodorum</i> SN15<br>","34034667","N/A","Huyen T. Phan","Genome Sequence and Annotation of <i>Parastagonospora nodorum</i> SN15","genome","17580"
"RNA-seq of C. ablicans from cecum of monocolonized WT and Rag1-/- mice","2021-07-14","Apollo","June L. Round","Department of Pathology, Division of Microbiology and Immunology, University of Utah School of Medicine","FungiDB rel. 66, 2023-NOV-28","66","RNASeq","calbSC5314_Ost_calbSC5314_2021_ebi_rnaSeq_RSRC","DS_1ed8718060","<i>Candida albicans</i> SC5314<br>","34262174","N/A","Ost et al. 2021","Transcriptome of <i>Candida albicans</i> in response to antibody binding in the mouse (C57Bl/6) cecum.","transcript_expression","N/A"
"<i>[Candida] auris</i> B11245 Genome Sequence and Annotation","2019-09-05","N/A","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","51","Genomes","caurB11245_primary_genome_RSRC","DS_1f16fb39d7","<i>Candida auris</i> strain B11245<br>","27988485, 30559369","N/A","Christina Cuomo","Genome Sequence and Annotation for <i>Candida auris</i> strain B11245","genome","5675"
"<i>Aphanomyces invadans</i> NJM9701 Genome Sequence and Annotation","2014-01-15","Apollo","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 51, 2021-MAR-16","23","Genomes","ainvNJM9701_primary_genome_RSRC","DS_1f2bcf851a","<i>Aphanomyces invadans</i> NJM9701<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome sequence and annotation for <i>Aphanomyces invadans</i> NJM9701.","genome","15416"
"SNP calls on WGS of Aspergillus fumigatus strains serially isolated from patients with aspergillosis","2014-09-08","Apollo","Daisuke Hagiwara","Medical Mycology Research Center (MMRC), Chiba University","FungiDB rel. 65, 2023-SEP-14","65","Genetic variation","afumAf293_HTS_SNP_Afum_patients_2014_RSRC","DS_204df0174b","<i>Aspergillus fumigatus</i> Af293<br>","25232160","N/A","Hagiwara et al. 2014","Whole-genome comparison of <i>Aspergillus fumigatus</i> strains serially isolated from patients with aspergillosis","isolates","N/A"
"<i>Trichophyton rubrum</i> CBS 118892 Genome Sequence and Annotation","2015-03-12","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 56, 2022-FEB-15","56","Genomes","trubCBS118892_primary_genome_RSRC","DS_206186a632","<i>Trichophyton rubrum</i> CBS 118892<br>","22951933","N/A","Christina Cuomo","Genome Sequence and Annotation of <i>Trichophyton rubrum</i> CBS 118892","genome","8713"
