Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,Genes,,,,
"Insecticide susceptibility of Anopheles coluzzii and Anopheles gambiae mosquitoes in Ibadan, South-West Nigeria",4/20/2017,N/A,Patricia N Okorie,"Institute for Advanced Medical Research and Training, College of Medicine, University of Ibadan, Ibadan, Nigeria","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000172_RSRC,DS_092599ab50,<br>,25417803,Patricia N Okorie,"This study aimed to determine the dynamics of insecticide susceptibility levels and frequency of knockdown resistance (kdr) mutations (L1014F) in wild Anopheles coluzzii and An. gambiae Giles from Ojoo and Bodija areas of Ibadan, South-West, Nigeria. Insecticide susceptibility to pyrethroids, organophosphates, carbamates and organochlorines was assessed using WHO bioassays. A subset of the mosquitoes exposed to pyrethroids and DDT was used for species and molecular form identification and kdr genotyping was determined using the Taqman real time PCR assay. (MapVEu VBP0000172)",population_biology,N/A,,,,
"Tick Cell Lines ISE6, ISE18, IDE2, IDE8, IDE12 and IRE11",2/19/2014,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","VectorBase rel. 64, 2023-JUL-12",64,RNASeq,iscaPalLabHiFi_Neafsey_Ixodes_celllines_2014_ebi_rnaSeq_RSRC,DS_0941d3180e,<i>Ixodes scapularis</i> PalLabHiFi<br>,N/A,"Neafsey et al 2014, unpublished","Unpublished transcriptome sequencing of Ix. ricinus IRE11 and, Ix. scapularis ISE6, ISE18, IDE2, IDE8, IDE12 cell lines.",transcript_expression,N/A,,,,
Small RNA (sRNA): Mosquito saliva and salivary glands (SGs) following chikungunya virus (CHIKV) infection,6/9/2022,Apollo,Bruno Arcà,"Department of Public Health and Infectious Diseases - Division of Parasitology, Sapienza University","VectorBase rel. 61, 2022-DEC-15",61,RNASeq,aaegLVP_AGWG_Fiorillo_saliva_2022_ebi_rnaSeq_RSRC,DS_0952834168,<i>Aedes aegypti</i> LVP_AGWG<br>,35681077,Fiorillo et al 2022,"Saliva was collected from 150 mosquitoes and salivary glands (SG) were dissected from 80 mosquitoes, 14 days after the blood meal (either challenged or unchallenged with chikungunya virus). Experiments were done in triplicate. This dataset is not appropriate for comparing protein-coding or lncRNA transcripts because it is enriched in RNAs < 200 nt (small RNAs).",transcript_expression,N/A,,,,
"Insecticide susceptibility status of some anophelines in district Bikaner, Rajasthan",6/17/2014,N/A,S.K. Bansal,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000041_RSRC,DS_095811bb66,<br>,8690127,S.K. Bansal,Insecticide resistance study imported from IRBase. (MapVEu VBP0000041),population_biology,N/A,,,,
Euryhaline vs stenohaline: larvae response to increasing salinity stress,3/31/2016,Apollo,Hilary Uyhelji,"Biological Sciences, University of Notre Dame","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,amerMAF2021_SRP065966_ebi_rnaSeq_RSRC,DS_095f6c87f2,<i>Anopheles merus</i> MAF 2021<br>,26945667,Uyhelji et al 2016,Transcriptomic comparison between euryhaline and stenohaline malaria vector sibling species to increasing salinity stress.,transcript_expression,N/A,,,,
Comparative evaluation of carbosulfan- and permethrin-impregnated curtains for preventing house-entry by the malaria vector Anopheles gambiae in Burkina Faso.,10/15/2014,N/A,C Fanello,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000110_RSRC,DS_0973aaf3e2,<br>,22823214,C Fanello,Insecticide resistance study imported from IRBase. (MapVEu VBP0000110),population_biology,N/A,,,,
Multiple Insecticide Resistance in the Malaria Vector Anopheles funestus from Northern Cameroon Is Mediated by Metabolic Resistance Alongside Potential Target Site Insensitivity Mutations,11/21/2016,N/A,Charles S Wondji,"Department of Vector Biology, Liverpool School of Tropical Medicine, Pembroke Place, Liverpool, L3 5QA United Kingdom","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000151_RSRC,DS_09a3de922f,<br>,27723825,Charles S Wondji,"Collection of indoor-resting female mosquitoes in Gounougou (northern Cameroon) in 2012 and 2015 revealed a predominance of An. funestus during dry season. WHO bioassays performed using F1 An. funestus revealed that the population was multiple resistant to several insecticide classes including pyrethroids (permethrin, deltamethrin, lambda-cyhalothrin and etofenprox), carbamates (bendiocarb) and organochlorines (DDT and dieldrin). (MapVEu VBP0000151)",population_biology,N/A,,,,
"Deinocerites cancer Theobald (Diptera':' Culicidae) on Grassy Key and Long Key in the Florida Keys, USA",1/30/2020,N/A,Lawrence Hribar,"Florida Keys Mosquito Control District, Florida, United States of America","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000617_RSRC,DS_09ffd19a85,<br>,N/A,Lawrence Hribar,"Mosquito abundance in Grassy Key and Long Key in the Florida Keys, USA, 1998 - 2019. (MapVEu VBP0000617)",population_biology,N/A,,,,
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2016",6/28/2020,N/A,Desireé Keeney,"Ada County Weed, Pest, and Mosquito","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000664_RSRC,DS_0a1ab45861,<br>,N/A,Desireé Keeney,"Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000664)",population_biology,N/A,,,,
"Density and Susceptibility Status of Malaria Vectors of Chilkuti Area, Bastar, Chhattisgarh",10/15/2020,N/A,Anju Viswan K,"National Centre for Disease Control, Jagdalpur, Chhattisgarh, India.","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000692_RSRC,DS_0a5bd6c670,<br>,N/A,Anju Viswan K,Adult mosquito collections were done from both cattle shed and human dwelling by hand catch method and per man hour density calculated to compare the density of mosquitoes. The susceptibility/ resistance status against the conventional insecticides as per NVBDCP guidelines was evaluated by WHO susceptibility kit. (MapVEu VBP0000692),population_biology,N/A,,,,
Transcriptome during milk production,Jan-20,Apollo,Joshua Benoit,"University of Cincinnati, Cincinnati, OH, USA","VectorBase rel. 47, 2020-APR-07",47,RNASeq,gmorYale_SRP023275_ebi_rnaSeq_RSRC,DS_0a7888b5bf,<i>Glossina morsitans</i> Yale<br>,24763277,Benoit et al 2014,Two groups of females were used for transcriptome analysis: the first group carried a third instar larva (lactating) while the second group was examined 48 h post parturition (dry or non-lactating),transcript_expression,N/A,,,,
"Mosquito surveillance in Lucas County, Ohio, USA. 2014",8/16/2018,N/A,Paul Bauman,Toledo Area Sanitary District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000316_RSRC,DS_0a91064dc8,<br>,N/A,Paul Bauman,Mosquito surveillance from the Toledo Area Sanitary District program to survey mosquito populations. (MapVEu VBP0000316),population_biology,N/A,,,,
Natural diversity of the malaria vector Anopheles gambiae,3/14/2017,N/A,Alistair Miles,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000163_RSRC,DS_0a94923ee0,<br>,N/A,Alistair Miles,"Sequencing of 765 wild specimens of Anopheles gambiae and Anopheles coluzzii sampled from 15 locations across Africa. The data reveal high levels of genetic diversity, with over 50 million single nucleotide polymorphisms across the 230 Mb genome. (MapVEu VBP0000163)",population_biology,N/A,,,,
"Potential for organophosphate resistance in Aedes aegypti (Diptera, Culicidae) in the Caribbean area and neighbouring countries",8/6/2014,N/A,G.P. Georghiou,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000097_RSRC,DS_0ac56e8858,<br>,3585923,G.P. Georghiou,Insecticide resistance study imported from IRBase. (MapVEu VBP0000097),population_biology,N/A,,,,
"Heartland Virus in Humans and Ticks, Illinois, USA, 2018&#8211;2019",2023,N/A,Holly C Tuten,N/A,"VectorBase rel. 63, 2023-MAY-03",63,N/A,ISATab_VBP0000834_RSRC,DS_0ad11aadf7,<br>,32568061,Holly C Tuten,"In 2019, ticks were collected at potential tick bite exposure locations and tested for Heartland and Bourbon viruses.",population_biology,N/A,,,,
"Molecular and entomological surveillance of malaria vectors in urban and rural communities of Benguela Province, Angola",2024,N/A,Alves Gonçalo,"The MENTOR Initiative, Burns House, Harlands Road, RH16 1PG, Haywards Heath","VectorBase rel. 68, 2024-MAY-07",68,N/A,ISATab_VBP0000851_RSRC,DS_0ae0be44a6,<br>,38448968,Alves Gonçalo,"Adult mosquitoes were collected indoors using CDC light traps from nine randomly selected households at two sentinel sites with distinct ecological characteristics. The samples were collected from 1 February to 30 June 2022. Pathogen data, looking at the presence of P. falciparum and blood meal source data is available for this study in VectorBase.",population_biology,N/A,,,,
"20 years of mosquito collections on Big Pine Key, Florida",2/28/2020,N/A,Lawrence Hribar,"Florida Keys Mosquito Control District, Florida, United States of America","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000623_RSRC,DS_0b1783110e,<br>,31667279,Lawrence Hribar,"Mosquito collections on Big Pine Key, Florida, USA from 1998-2019 using carbon dioxide-baited light traps (MapVEu VBP0000623)",population_biology,N/A,,,,
Antenna transcriptome pre- and post- blood meal,Jan-20,N/A,Qian Chen,National University of Defense Technology,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,asinSINENSIS_SRP101390_ebi_rnaSeq_RSRC,DS_0b61478950,<i>Anopheles sinensis</i> SINENSIS<br>,28715466,Chen et al 2017,Transcriptome analysis of the antennae of <i>Anopheles sinensis</i> which were kept either on sugar diet or five hours after blood feeding (three biological replicates each treatment).,transcript_expression,N/A,,,,
Montana State University mosquito data for 2017,9/5/2019,N/A,White Gregory,Salt Lake City Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000546_RSRC,DS_0c21f97600,<br>,N/A,White Gregory,"2017 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000546)",population_biology,N/A,,,,
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2009",6/26/2020,N/A,Desireé Keeney,"Ada County Weed, Pest, and Mosquito","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000657_RSRC,DS_0c58f57614,<br>,N/A,Desireé Keeney,"Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000657)",population_biology,N/A,,,,
Anopheles coluzzii RNA-Seq acolAcolN3idAnoColuKW18c001_1,6/28/2018,Apollo,Carla Saleh,Institut Pasteur,"VectorBase rel. 61, 2022-DEC-15",61,RNASeq,acolAcolN3idAnoColuKW18c001_1_ERP106575_ebi_rnaSeq_RSRC,DS_0c811af580,<i>Anopheles coluzzii</i> AcolN3<br>,N/A,Carla Saleh,RNA deep seq responses of Anopheles gambiae 3 days post arbovirus infection by artificial blood feeding,transcript_expression,N/A,,,,
Reported distribution of Ixodes scapularis and Ixodes pacificus (Acari: Ixodidae) in the United States,2022,N/A,D Dennis,"Division of Vector-Borne Infection Diseases, Centers for Disease Control and Prevention, U.S. Department of Health and Human Services, Fort Collins, CO 80522, USA","VectorBase rel. 62, 2023-MAR-09",62,N/A,ISATab_VBP0000825_RSRC,DS_0c971bf03a,<br>,N/A,D Dennis,Distribution of Ixodes scapularis and Ixodes pacificus in the United States.,population_biology,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1991",7/19/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000499_RSRC,DS_0cd12d581e,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 1991. (MapVEu VBP0000499),population_biology,N/A,,,,
Treated with tetracycline and control,10/13/2021,Apollo,Jingwen Wang,"State Key Laboratory of Genetic Engineering, School of Life Sciences, Fudan University","VectorBase rel. 66, 2023-NOV-28",66,RNASeq,hlonHaeL2018_hlonHaeL2018_RNASeq_tetracycline_ebi_rnaSeq_RSRC,DS_0cdc83e0d4,<i>Haemaphysalis longicornis</i> HaeL-2018<br>,34525331,Zhong et al 2021,"Two days after tetracycline treatment, nymphs were collected and divided into three biological replicates with 13 ticks in each group.",transcript_expression,N/A,,,,
"Probing functional polymorphisms in the dengue vector, Aedes aegypti",Jun-20,Apollo,Mariangela Bonizzoni,Univ of California Irvine,"VectorBase rel. 48, 2020-AUG-27",48,Genetic variation,aaegLVP_AGWG_VBP0000015_Aedes_Bonizzono_2013_insecticide_resistance_2_fix1_AaegL5_ebi_VCF_RSRC,DS_0ce2d1e0b0,<i>Aedes aegypti</i> LVP_AGWG<br>,24168143,Mariangela Bonizzoni,Characterisation of SNP markers in three strains of Aedes aegypti,isolates,N/A,,,,
Entomological longitudinal surveys in two contrasted eco-climatic settings in Cameroon reveal a high malaria transmission from Anopheles funestus associated with GSTe2 metabolic resistance,2024,N/A,Brice Fonkou,"Medical Entomology Department, Centre for Research in Infectious Diseases (CRID), Yaoundé, Cameroon (UNAM","VectorBase rel. 67, 2024-FEB-21",67,N/A,ISATab_VBP0000849_RSRC,DS_0ddad559ea,<br>,37891470,Brice Fonkou,"Studies were carried out in Mibellon and Elende, two different eco-climatic settings in Cameroon, data available in VectorBase is blood meal origin by ELISA. The genotype data presented in this paper was not available in a form that could be integrated into the database.",population_biology,N/A,,,,
Generic RNA samples,Jan-20,Apollo,T M Lowe,"Department of Genetics, Washington University School of Medicine","VectorBase rel. 47, 2020-APR-07",47,RNASeq,scalUSDA_SRP018526_ebi_rnaSeq_RSRC,DS_0df29fe903,<i>Stomoxys calcitrans</i> USDA<br>,N/A,Lowe et al.,"The stable fly <i>Stomoxys calcitrans</i> is an obligate blood feeder, closely related to Tsetse fly. S. calcitrans is a mechanical vector of typanosomes but unlike Tsetse, it does not transmit disease-causing parasites to humans. Genomic data from this organism will contribute to the understanding of vector competence in Tsetse fly and the transmission of trypanosomiasis.",transcript_expression,N/A,,,,
"Pyrethroid and Etofenprox Resistance in Anopheles gambiae and Anopheles coluzzii from Vegetable Farms in Yaound&#233;, Cameroon: Dynamics, Intensity and Molecular Basis",10/18/2021,N/A,Michael Piameu,"Laboratoire de Recherche sur le Paludisme, Institut de Recherche de Yaoundé (IRY), Organisation de Coordination pour la lutte Contre les Endémies en Afrique Centrale (OCEAC), P.O. Box 288, Yaoundé 999108, Cameroon","VectorBase rel. 55, 2021-DEC-02",55,N/A,ISATab_VBP0000784_RSRC,DS_0e32bcfd65,<br>,34577014,Michael Piameu,"The intensity of this resistance and underlying mechanisms are poorly known in Cameroon. Therefore, three cross-sectional resistance surveys were conducted between April 2018 and October 2019, using the revised World Health Organization protocol, which includes resistance incidences and intensity assessments. (MapVEu VBP0000784)",population_biology,N/A,,,,
Insecticide susceptibility status and enzyme profile of Aedes albopictus populations from different localities of Maharashtra State,4/23/2014,N/A,S. Chakraborti,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000021_RSRC,DS_0e349f8f2f,<br>,8486408,S. Chakraborti,Insecticide resistance study imported from IRBase. (MapVEu VBP0000021),population_biology,N/A,,,,
Male reproductive organs,Jan-20,Apollo,Richard Emes,"School of Veterinary Medicine and Sciences., University of Nottingham","VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP155215_ebi_rnaSeq_RSRC,DS_0eac688af3,<i>Anopheles gambiae</i> PEST<br>,30623175,Izquierdo et al 2019,Gene expression was determined for Male accessory gland and testes,transcript_expression,N/A,,,,
"Nuvan resistance in a field strain of Aedes aegypti (L) in Lagos, Nigeria",8/6/2014,N/A,K.N. Donpedro,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000085_RSRC,DS_0ead9b692b,<br>,N/A,K.N. Donpedro,Insecticide resistance study imported from IRBase. (MapVEu VBP0000085),population_biology,N/A,,,,
"Mosquito surveillance in Anastasia, Saint Johns County, Florida, USA. 2016",6/21/2018,N/A,Richard Weaver,Anasatasia Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000290_RSRC,DS_0ebd6d104d,<br>,N/A,Richard Weaver,Mosquito surveillance from the Anastasia Mosquito Control District program to survey mosquito populations. (MapVEu VBP0000290),population_biology,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 2002 (New Jersey light trap)",2/9/2019,N/A,Unidentified,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000389_RSRC,DS_0f726d2fa0,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000389)",population_biology,N/A,,,,
