Data Set,Data Set Version,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,VEuPathDB Project,Genes,,,,
Secretome of T gondii tachyzoites (RH) isolated from infected mice and the proteome of extracellular vesicles (exosomes and ectosomes).,8/18/2019,Ricardo Mondragón-Flores,Center for Research and Advanced Studies of the National Polytechnic Institute,"VEuPathDB rel. 51, 2021-MAR-16",51,Protein expression,tgonGT1_massSpec_Ramirez_Vesicle_Peptide_RSRC,DS_04df8ee8b5,<i>Toxoplasma gondii</i> GT1<br>,31434009,Ramirez-Flores et al. 2019,"Proteomic analysis of the secretome of <i>Toxoplasma gondii</i> tachyzoites (RH) and the proteomic profile of the vesicles released. For the secretome, parasites were isolated from infected mice, purified, and secretions were collected. The complete secretion was analyzed by MS generating the secretome. In addition, a proteomic characterization was achieved in exosomes, ectosomes and the supernatant obtained by differential centrifugation of the secretory products.",protein_expression,ToxoDB,N/A,,,,
Lytic cycle transcriptome map (scRNA-Seq),3/14/2024,Kourosh Zarringhalam,"Department of Mathematics, University of Mass","VEuPathDB rel. 68, 2024-MAY-07",68,scRNA-Seq,tgonME49_zarringhalam_cellcycle_rna_cellxgene_RSRC,DS_04e48c0e75,<i>Toxoplasma gondii</i> ME49<br>,N/A,Lou et al. 2023,Unbiased transcriptome map throughout the lytic cell cycle of <i>Toxoplasma gondii</i> determined by single cell RNA-Seq.,transcript_expression,ToxoDB,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1996 (New Jersey light trap)",3/8/2019,Ryan Smith,Iowa State University,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000410_RSRC,DS_04f870f657,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000410)",population_biology, ,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1980",7/9/2019,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000482_RSRC,DS_04fe2cdae1,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 1980. (MapVEu VBP0000482),population_biology, ,N/A,,,,
"Detection of kdr and ace-1 mutations in wild populations of Anopheles
arabiensis and An. melas in a residual malaria transmission area of Senegal",6/17/2021,O. Sy,"Laboratoire d'Ecologie Vectorielle et Parasitaire, Faculté des Sciences et Techniques, Université Cheikh Anta Diop, Dakar, Sénégal","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000766_RSRC,DS_05034465f6,<br>,33771262,O. Sy,"Malaria vectors were collected from three selected villages using nocturnal human
 landing catches and pyrethrum spray collections methods. An. gambiae s.l. specimens were identified
 at the species level then genotyped for the presence of kdr-west (L1014F), kdr-east (L1014S) and ace-1R mutations
by qPCR. (MapVEu VBP0000766)",population_biology, ,N/A,,,,
<i>Leptomonas seymouri</i> ATCC 30220 Genome Sequence and Annotation,5/6/2015,Vyacheslav Yurchenko,"Life Science Research Center, Department of Biology and Ecology, Faculty of Science, University of Ostrava","VEuPathDB rel. 52, 2021-MAY-20",25,Genomes,lseyATCC30220_primary_genome_RSRC,DS_050c1aaf5f,<i>Leptomonas seymouri</i> ATCC 30220<br>,N/A,Vyacheslav Yurchenko,<i>Leptomonas seymouri </i> ATCC 30220 Sequence and Annotation,genome,TriTrypDB,8595,,,,
"A survey of Anopheles species composition and insecticide resistance on the island of Bubaque, Bijagos Archipelago, Guinea-Bissau",2/2/2021,G James Logan,"ARCTEC, Chariot Innovations Ltd, London School of Hygiene and Tropical Medicine, Keppel Street, London, WC1E 7HT UK","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000723_RSRC,DS_052029e709,<br>,31941507,G James Logan,A survey of mosquito species composition was performed at the onset of the wet season (June/July) and the beginning of the dry season (November/December). Sampling was performed using indoor adult light-traps and larval dipping. Anopheles mosquitoes were identified to species level and assessed for kdr allele frequency by TaqMan PCR. Females were analysed for sporozoite positivity by CSP-ELISA. Resistance to permethrin and &#945;-cypermethrin was measured using the CDC-bottle bioassay incorporating the synergist piperonyl-butoxide. (MapVEu VBP0000723),population_biology, ,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2017",6/19/2019,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000479_RSRC,DS_0543cdeae7,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2017. (MapVEu VBP0000479),population_biology, ,N/A,,,,
Flagellar proteome,3/9/2006,Keith Gull,University of Oxford,"VEuPathDB rel. 20, 2014-FEB-03",20,Protein expression,tbruTREU927_massSpec_Broadhead_Flagellar_Proteomics_RSRC,DS_058f8640cb,<i>Trypanosoma brucei</i> brucei TREU927<br>,16525475,Broadhead et al.,<i>Trypanosoma brucei</i> flagellum proteome comprising the membrane-bound axoneme and associated paraflagellar rod.,protein_expression,TriTrypDB,N/A,,,,
Anopheles sinensis strain:China Raw sequence reads,20-Jan,Xinyu Feng,"National Institute of Parasitic Disease, Chinese Center for Disease Control and Prevention","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,asinSINENSIS_SRP128390_ebi_rnaSeq_RSRC,DS_05a1c0cc77,<i>Anopheles sinensis</i> SINENSIS<br>,N/A,Xinyu Feng,Analysis of microRNA profile of Anopheles sinensis by the deep sequencing and the bioinformatic approach,transcript_expression,VectorBase,N/A,,,,
<i>Meyerozyma guilliermondii</i> ATCC 6260 Genome Sequence and Annotation,3/23/2015,Geraldine Butler,"UCD School of Biomolecular and Biomedical Science, Conway Institute, University College Dublin","VEuPathDB rel. 56, 2022-FEB-15",56,Genomes,mguiATCC6260_primary_genome_RSRC,DS_05a7d4a66a,<i>Meyerozyma guilliermondii</i> ATCC 6260<br>,19465905,Geraldine Butler,Genome Sequence and Annotation of <i>Meyerozyma guilliermondii</i> ATCC 6260,genome,FungiDB,6062,,,,
"Knockdown Resistance (kdr) Mutations in Indian
Anopheles stephensi (Diptera: Culicidae) Populations",2/6/2018,Cherry L Dykes,"National Institute of Malaria Research, Sector 8, Dwarka, Delhi-110077, India","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000225_RSRC,DS_05aa8c9b3c,<br>,26747858,Cherry L Dykes,Seven populations of An. stephensi from six states of India were screened for the presence of two alternative kdr mutations L1014F and L1014S using allele-specific polymerase chain reaction assays. (MapVEu VBP0000225),population_biology, ,N/A,,,,
"Maryland Dept. of Agriculture mosquito surveillance, Maryland, USA, 2020",11/6/2020,Stephen Panossian,Maryland Department of Agriculture Mosquito Control Section,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000711_RSRC,DS_05cafa787e,<br>,N/A,Stephen Panossian,Maryland Dept. of Agriculture weekly mosquito population surveillance performed using CDC light traps in 2020. (MapVEu VBP0000711),population_biology, ,N/A,,,,
Transcriptome,20-Jan,Steve Horvath,"Human Genetics, David Geffen School of Medicine and School of Public Health, University of California Los Angeles;","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,clecHarlan_SRP059123_ebi_rnaSeq_RSRC,DS_060278821b,<i>Cimex lectularius</i> Harlan<br>,30478043,Horvath et al.,"The 1KITE (1K Insect Transcriptome Evolution) project aims to study the transcriptomes of 1,000 insect species encompassing all recognized insect orders. For each species, so-called ESTs (Expressed Sequence Tags) will be produced using next generation sequencing techniques (NGS).",transcript_expression,VectorBase,N/A,,,,
ESTs in TvG2M library,8/21/2007,Petrus Tang,N/A,"VEuPathDB rel. 1.0, 2005-JAN-01",0,EST,tvagG32022_EST_TvG2M_sequences_RSRC,DS_06133b1950,<i>Trichomonas vaginalis</i> G3 2022<br>,N/A,Petrus Tang,<i>T. vaginalis</i> G3 EST sequences,EST,TrichDB,N/A,,,,
<i>Nematocida ausubeli</i> ERTm2 Genome Sequence and Annotation,3/18/2015,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"VEuPathDB rel. 52, 2021-MAY-20",0,Genomes,nausERTm2_primary_genome_RSRC,DS_06a6bb7fc7,<i>Nematocida ausubeli</i> ERTm2<br>,"19071962, 22813931",The Broad Institute of MIT and Harvard,<i>Nematocida ausubeli</i> ERTm2 sequence and annotation,genome,MicrosporidiaDB,2831,,,,
Euryhaline vs stenohaline: larvae response to increasing salinity stress,5/25/2016,Hilary Uyhelji,"Biological Sciences, University of Notre Dame","VEuPathDB rel. 61, 2022-DEC-15",61,RNASeq,acolAcolN3idAnoColuKW18c001_1_SRP065966_ebi_rnaSeq_RSRC,DS_06db9bdec3,<i>Anopheles coluzzii</i> AcolN3<br>,26945667,Uyhelji et al 2016,Transcriptomic comparison between euryhaline and stenohaline malaria vector sibling species to increasing salinity stress.,transcript_expression,VectorBase,N/A,,,,
"UK Culicoides surveillance, Pirbright Institute, UK, 2008",3/19/2019,Simon Carpenter,Pirbright Institute,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000437_RSRC,DS_06ebb7e6f1,<br>,N/A,Simon Carpenter,"A UK surveillance network for Culicoides biting midges was ran up by The Pirbright Institute from 2006 to 2011 using 8W ultraviolet Onderstepoort Veterinary Institute (OVI) light-suction traps. Traps were set from dusk until dawn one day a week. Culicoides were categorised into groups using wing patterns and metrics. Male members of the subgenus Avaritia were identified to species level based on their genital morphology, whilst females were treated as a single group and sub-divided according to the appearance of their abdomen (unpigmented, pigmented, gravid and blood-fed). Development of pigmentation in female Culicoides is broadly indicative of aging, but direct extrapolation to parity is not recommended. For larger samples, a subsampling technique was used. 17 trapping sites are georeferenced to the county level. In most cases, there was a single trap per county. For higher resolution georeferencing, please contact the authors. (MapVEu VBP0000437)",population_biology, ,N/A,,,,
<i>Trichophyton tonsurans</i> CBS 112818 Genome Sequence and Annotation,7/24/2016,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 57, 2022-APR-21",57,Genomes,ttonCBS112818_primary_genome_RSRC,DS_06f647c621,<i>Trichophyton tonsurans</i> CBS 112818<br>,22951933,Christina Cuomo,Genome Sequence and Annotation of <i>Trichophyton tonsurans</i> CBS 112818,genome,FungiDB,8625,,,,
<i>Exophiala dermatitidis</i> NIH/UT8656 Genome Sequence and Annotation,3/17/2015,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 51, 2021-MAR-16",51,Genomes,ederNIHUT8656_primary_genome_RSRC,DS_06fdfcb16d,<i>Exophiala dermatitidis</i> NIH/UT8656<br>,28348446,Christina Cuomo,Genome Sequence and Annotation for <i>Exophiala dermatitidis</i> NIH/UT8656,genome,FungiDB,9356,,,,
<i>Aspergillus fumigatus</i> Af293 Genome Sequence and Annotation,9/27/2015,William C. Nierman,J. Craig Venter Institute,"VEuPathDB rel. 60, 2022-NOV-09",21,Genomes,afumAf293_primary_genome_RSRC,DS_071f05cd56,<i>Aspergillus fumigatus</i> Af293<br>,16372009,William C. Nierman,Genome sequence and annotation for <i>Aspergillus fumigatus</i> Af293.,genome,FungiDB,10130,,,,
Transcriptomes of virulent and avirulent N. caninum strains,9/9/2017,L.M. Ortega-Mora,"SALUVET, Animal Health Department, Faculty of Veterinary Sciences, Complutense University of Madrid","VEuPathDB rel. 43, 2019-APR-25",43,RNASeq,ncanLIV_Horcajo_bovine_infection_parasites_ebi_rnaSeq_RSRC,DS_072182c447,<i>Neospora caninum</i> Liverpool<br>,29154927,Horcajo et al.,Transcriptomes of virulent (Nc-Spain7) and avirulent (Nc-Spain1H) <i>N. caninum</i> strains,transcript_expression,ToxoDB,N/A,,,,
"Mosquito abundance, Rhode Island Department of Environmental Management, in Rhode Island, USA, 2020",4/27/2021,Alan Gettman,Rhode Island Department of Environmental Management,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000740_RSRC,DS_07235e75d1,<br>,N/A,Alan Gettman,"Mosquito abundance in Mosquito abundance, Rhode Island Department of Environmental Management, in Rhode Island, USA, 2020 (MapVEu VBP0000740)",population_biology, ,N/A,,,,
Candida albicans functional genomic screening,6/24/2019,Rebecca Shapiro,"Department of Molecular and Cellular Biology, University of Guelph, Canada","VEuPathDB rel. 56, 2022-FEB-15",56,Phenotype,calbSC5314_phenotype_Shapiro_2021_Calb_RSRC,DS_0732741900,<i>Candida albicans</i> SC5314<br>,34864983,Gervais et al. 2021,Compiled and normalized <i>Candida albicans </i> functional genomic screening data,generic_profiles,FungiDB,N/A,,,,
Transcriptomes of clinical isolate strains and mutant derivatives,5/22/2019,Aaron P. Mitchell,"Department of Microbiology, University of Georgia, Athens, USA","VEuPathDB rel. 56, 2022-FEB-15",56,RNASeq,calbSC5314_Calb_network_2019_ebi_rnaSeq_RSRC,DS_075a4b4e1f,<i>Candida albicans</i> SC5314<br>,31116789,"Huang et al., 2019",Three cultures of each strain were grown to provide three biological replicates for Nanostring and RNA-Seq experiments.,transcript_expression,FungiDB,N/A,,,,
<i>[Candida] auris</i> B8441 Genome Sequence and Annotation,11/15/2017,Anastasia P. Litvintseva,"Mycotic Diseases Branch, Centers for Disease Control and Prevention, Atlanta, Georgia","VEuPathDB rel. 53, 2021-JUL-21",37,Genomes,caurB8441_primary_genome_RSRC,DS_077dbc942e,<i>Candida auris</i> strain B8441<br>,27988485,Anastasia P. Litvintseva,<i>Candida auris</i> strain B8441 Genome Sequence and Annotation,genome,FungiDB,5584,,,,
<i>Histomonas meleagridis</i> 2922-C6/04-290x Genome Sequence and Annotation,9/30/2021,Ivana Bilic,"University of Veterinary Medicine, Vienna Austria","VEuPathDB rel. 60, 2022-NOV-09",60,Genomes,hmel2922-C604-290x_primary_genome_RSRC,DS_079223ec4c,<i>Histomonas meleagridis</i> 2922-C6/04-290x<br>,34674644,Ivana Bilic,Genome Sequence and Annotation of <i>Histomonas meleagridis</i> 2922-C6/04-290x,genome,TrichDB,11137,,,,
Aligned genomic sequence reads - Hybrid Selection Project,9/6/2014,Jane Carlton,"Center for Genomics and Systems Biology, New York University, 12 Waverly Place, New York, NY 10003","VEuPathDB rel. 23, 2015-JAN-14",23,Genetic variation,pvivP01_HTS_SNP_Broad_whitePaper_hybridSelection_RSRC,DS_079607ca4d,<i>Plasmodium vivax</i> P01<br>,27348298,Jane Carlton,Whole genome sequencing from  175 <i>P. vivax</i> isolates from the Hybrid Selection Project of <i>P. vivax</i>,isolates,PlasmoDB,N/A,,,,
<i>Aspergillus oryzae</i> RIB40 Genome Sequence and Annotation,10/4/2015,Aspergillus Genome Database (AspGD),Stanford University,"VEuPathDB rel. 51, 2021-MAR-16",25,Genomes,aoryRIB40_primary_genome_RSRC,DS_07d4b5c58b,<i>Aspergillus oryzae</i> RIB40<br>,20392818,Aspergillus Genome Database (AspGD),Genome sequence and annotation for <i>Aspergillus oryzae</i> RIB40.,genome,FungiDB,12364,,,,
<i>Anopheles melas</i> CM1001059_A Genome Sequence and Annotation,AmelC2,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","VEuPathDB rel. 49, 2020-NOV-05",47,Genomes,amelCM1001059_A_primary_genome_RSRC,DS_07e4de9743,<i>Anopheles melas</i> CM1001059_A<br>,25554792,Daniel E. Neafsey,Genome Sequence and Annotation for <i>Anopheles melas</i> CM1001059_A,genome,VectorBase,15777,,,,
<i>Anopheles coluzzii</i> Mali-NIH Genome Sequence and Annotation,AcolM1,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VEuPathDB rel. 47, 2020-APR-07",47,Genomes,acolMali-NIH_primary_genome_RSRC,DS_08157340e8,<i>Anopheles coluzzii</i> Mali-NIH<br>,20966253,Mara Lawniczak,Genome Sequence and Annotation for <i>Anopheles coluzzii</i> Mali-NIH,genome,VectorBase,14796,,,,
Dengue 1 infection,20-Jan,Vincent Raquin,"Insect-Virus Interactions Group, Department of Genomes and Genetics, Institut Pasteur, Paris, France.; Centre National de la Recherche Scientifique, Unité de Recherche Associée 3012, Paris, France.;","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP134172_ebi_rnaSeq_RSRC,DS_083bb296ab,<i>Aedes aegypti</i> LVP_AGWG<br>,29261661,Raquin et al 2017,Midgut transcriptome of <i>Aedes aegypti</i> (strain: KPP-TN) infected or not by blood meal with Dengue virus 1 (midguts at 24 and 96 hpi).,transcript_expression,VectorBase,N/A,,,,
Midgut transcriptomes of blood fed DENV2 NS1 vs. those blood fed BSA,20-Jan,Jianying Liu,Tsinghua university,"VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP064748_ebi_rnaSeq_RSRC,DS_08468158cd,<i>Aedes aegypti</i> LVP_AGWG<br>,27562253,Liu et al 2016,"Transcriptional changes in the <i>Aedes aegypti</i> midguts transcriptome 4,8,18 hours after blood feeding BSA or DENV2 NS1.",transcript_expression,VectorBase,N/A,,,,
<i>Pichia kudriavzevii</i> strain CBS5147 Genome Sequence,4/17/2018,Kenneth H. Wolfe,"UCD Conway Institute, School of Medicine, University College Dublin, Dublin, Ireland","VEuPathDB rel. 52, 2021-MAY-20",52,Genomes,pkudCBS5147_primary_genome_RSRC,DS_085ea6d33a,<i>Pichia kudriavzevii</i> strain CBS5147<br>,30024981,Kenneth H. Wolfe,Genome Sequence of <i>Pichia kudriavzevii</i> strain CBS5147,genome,FungiDB,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2012",7/29/2019,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000524_RSRC,DS_0864a1e5cf,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2012. (MapVEu VBP0000524),population_biology, ,N/A,,,,
Transcriptomes of HM1:IMSS and Rahman strain trophozoites,1.0_gus4,Nancy Guillen,"Unit of Cell Biology of Parasitism, Institut Pasteur","VEuPathDB rel. 2.19, 2013-SEP-25",19,RNASeq,ehisHM1IMSS_Guillen_ebi_rnaSeq_RSRC,DS_0891b4c971,<i>Entamoeba histolytica</i> HM-1:IMSS<br>,23258700,Hon et al.,"Transcriptomes of virulent <i>Entamoeba histolytica</i> HM1:IMSS and non-virulent Rahman 
         strains were determined by Illumina RNA-Seq.",transcript_expression,AmoebaDB,N/A,,,,
Combined target site (kdr) mutations play a primary role in highly pyrethroid resistant phenotypes of Aedes aegypti from Saudi Arabia,6/19/2017,Ashwaq M Al Nazawi,"Saudi Ministry of Health, Riyadh, Saudi Arabia, Department of Vector Biology, Liverpool School of Tropical Medicine, Pembroke Place, Liverpool, L3 5QA UK","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000181_RSRC,DS_089955ae83,<br>,28347352,Ashwaq M Al Nazawi,"Aedes aegypti collected from each city were raised to adults and assayed for resistance to permethrin, deltamethrin (with and without the synergist piperonyl butoxide, PBO), fenitrothion, and bendiocarb. Two fragments of the voltage-gated sodium channel (Vgsc), encompassing four previously identified mutation sites, were sequenced and subsequently genotyped to determine associations with resistance. Expression of five candidate genes (CYP9J10, CYP9J28, CYP9J32, CYP9M6, ABCB4) previously associated with pyrethroid resistance was compared between assay survivors and controls. (MapVEu VBP0000181)",population_biology, ,N/A,,,,
